Breed,Breed Group,Height,Weight,Life Expectancy
Bluetick Coonhound,HOUND GROUP,22-27,55-80,11-12
Boerboel,WORKING GROUP,24-27,150-200,9-11
Bohemian Shepherd,FOUNDATION STOCK SERVICE,20.5-21.7 (males),41-60 (males),12-15
Bolognese,MISCELLANEOUS CLASS,10-12,6-10,12-14
Border Collie,HERDING GROUP,19-22,30-55,12-15
Border Terrier,TERRIER GROUP,12-15,13-15.5,12-15
Borzoi,HOUND GROUP,28 & up,75-105,9-14
Boston Terrier,NON-SPORTING GROUP,10-12,12-25,11-13
Bouvier des Ardennes,FOUNDATION STOCK SERVICE,Male 22 - 24.5 Female 20.5 - 22,Male 61.5 - 77.5 lbs Female 48.5 - 62 lbs,12-16
Bouvier des Flandres,HERDING GROUP,24.5-27.5,70-110,10-12
Boxer,WORKING GROUP,23-25,65-80,10-12
Boykin Spaniel,SPORTING GROUP,15.5-18,30-40,10-15
Bracco Italiano,SPORTING GROUP,21-27,55-90,10-14
Braque du Bourbonnais,FOUNDATION STOCK SERVICE,19-22.5,35-53,10-12
Braque Francais Pyrenean,FOUNDATION STOCK SERVICE,18.5-23,40-55,12-15
Braque Saint-Germain,FOUNDATION STOCK SERVICE,22-24 males,40 - 58 lbs,12-15
Brazilian Terrier,FOUNDATION STOCK SERVICE,Males 13.7 - 15.7,22 lbs,12-14
Briard,HERDING GROUP,23-27,55-100,12
Brittany,SPORTING GROUP,17.5-20.5,30-40,12-14
Broholmer,FOUNDATION STOCK SERVICE,27.5-29.5,90-150,8-10
Brussels Griffon,TOY GROUP,7-10,8-10,12-15
Bull Terrier,TERRIER GROUP,21-22,50-70,12-13
Bulldog,NON-SPORTING GROUP,14-15,50,8-10
Bullmastiff,WORKING GROUP,25-27,110-130,7-9
Cairn Terrier,TERRIER GROUP,10,14,13-15
Canaan Dog,HERDING GROUP,20-24,45-55,12-15
Cane Corso,WORKING GROUP,25-27.5,Proportionate to height,9-12
Cardigan Welsh Corgi,HERDING GROUP,10.5-12.5,30-38,12-15
Carolina Dog,FOUNDATION STOCK SERVICE,17.75-19.5,30-55,12-15
Catahoula Leopard Dog,FOUNDATION STOCK SERVICE,22-24,50-95,10-14
Caucasian Shepherd Dog,FOUNDATION STOCK SERVICE,23-30,99-170,10-12
Cavalier King Charles Spaniel,TOY GROUP,12-13,13-18,12-15
Central Asian Shepherd Dog,FOUNDATION STOCK SERVICE,Minimum: 25.5-27.5,Minimum: 88-110,years
Cesky Terrier,TERRIER GROUP,10-13,14-24,12-15
Chesapeake Bay Retriever,SPORTING GROUP,23-26,65-80,10-13
Chihuahua,TOY GROUP,5-8,not exceeding 6,14-16
Chinese Crested,TOY GROUP,11-13,8-12,13-18
Chinese Shar-Pei,NON-SPORTING GROUP,18-20,45-60,8-12
Chinook,WORKING GROUP,24-26,55-90,12-15
Chow Chow,NON-SPORTING GROUP,17-20,45-70,8-12
Cirneco dell'Etna,HOUND GROUP,18-20,20-28,15-16
Clumber Spaniel,SPORTING GROUP,18-20,70-85,10-12
Cocker Spaniel,SPORTING GROUP,14.5-15.5,25-30,10-14
Collie,HERDING GROUP,24-26,60-75,12-14
Coton de Tulear,NON-SPORTING GROUP,10-11,9-15,15-19
Croatian Sheepdog,FOUNDATION STOCK SERVICE,16-20,29-44,13-14
Curly-Coated Retriever,SPORTING GROUP,25-27,60-95,10-12
Czechoslovakian Vlciak,MISCELLANEOUS CLASS,Minimum: 25.5 males; 23.5 females,Minimum: 57 males; 44 females,12-16
Dachshund,HOUND GROUP,8-9 (standard),16-32 (standard),12-16
Dalmatian,NON-SPORTING GROUP,19-24,45-70,11-13
Dandie Dinmont Terrier,TERRIER GROUP,8-11,18-24,12-15
Danish-Swedish Farmdog,MISCELLANEOUS CLASS,12.5-14.5,15-20,11-13
Deutscher Wachtelhund,FOUNDATION STOCK SERVICE,18-21,40-55,12-14
Doberman Pinscher,WORKING GROUP,26-28,75-100,10-12
Dogo Argentino,WORKING GROUP,24-26.5,80-100,9-15
Dogue de Bordeaux,WORKING GROUP,23.27,110 & up,5-8
Drentsche Patrijshond,FOUNDATION STOCK SERVICE,23-25 (males),70-73 (males),11-14
Drever,FOUNDATION STOCK SERVICE,12-15,35-40,15
Dutch Shepherd,MISCELLANEOUS CLASS,21.5-24.5,42-75,11-14
English Cocker Spaniel,SPORTING GROUP,16-17,28-34,12-14
English Foxhound,HOUND GROUP,24,60-75,10-13
English Setter,SPORTING GROUP,25-27,65-80,12
English Springer Spaniel,SPORTING GROUP,20,50,12-14
English Toy Spaniel,TOY GROUP,9-10,8-14,10-12
Entlebucher Mountain Dog,HERDING GROUP,17.5-20.5,50-65,11-13
Estrela Mountain Dog,FOUNDATION STOCK SERVICE,24.5-29,77-132,10-14
Eurasier,FOUNDATION STOCK SERVICE,19-24,40-70,12-16
Field Spaniel,SPORTING GROUP,18,35-50,12-13
Finnish Lapphund,HERDING GROUP,18-21,33-53,12-15
Finnish Spitz,NON-SPORTING GROUP,17.5-20,25-33,13-15
Flat-Coated Retriever,SPORTING GROUP,23-24.5,60-70,8-10
French Bulldog,NON-SPORTING GROUP,11-13,under 28,10-12
French Spaniel,FOUNDATION STOCK SERVICE,21.5-24,50-60,10-12
German Longhaired Pointer,FOUNDATION STOCK SERVICE,22-28,55-80,12-14
German Pinscher,WORKING GROUP,17-20,25-45,12-14
German Shepherd Dog,HERDING GROUP,24-26,65-90,12-14
German Shorthaired Pointer,SPORTING GROUP,23-25,55-70,10-12
German Spitz,MISCELLANEOUS CLASS,Toy 8 - 12,Toy 10-11 lbs,13-15
